<<<<<<< HEAD
﻿id,name,type,grade,rank,effect,owners,target
139,三人衆の威光,固有,不明,品質：不明,品質:B種類:自律発動率:100%ランダムな敵1人に動揺(ダメージ率124%)を付与する。効果は付与後に3回、行動開始すると終了する,,敵軍ランダム1人
140,不撓不屈,固有,不明,品質：不明,品質:B種類:自律発動率:100%自身に洞察を付与する。効果は2ターン後の行動開始前まで持続する,,自分
141,無傷の将,固有,不明,品質：不明,品質:B種類:指揮発動率:45%戦闘開始後、2ターン目に味方それぞれに対して浄化を付与し、兵力を回復する(回復率150%),,不明
142,忠義の一撃,固有,不明,品質：不明,品質:B種類:自律発動率:50%味方の大将に反撃(ダメージ率60%)を付与する。効果は2ターン後の行動開始前まで持続する,,不明
143,虎の猛攻,固有,不明,品質：不明,品質:B種類:追撃発動率:35%敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率84%)を1回仕掛ける,,敵軍ランダム1人
144,夜討ち,固有,不明,品質：不明,品質:B種類:自律発動率:100%ランダムな敵1人に武勇攻撃(ダメージ率140%)を仕掛ける,,敵軍ランダム1人
145,報恩の鼓舞,固有,不明,品質：不明,品質:B種類:受動発動率:45%自身の統率が30増加する,,自分
146,気相の将,固有,不明,品質：不明,品質:B種類:自律発動率:30%戦法発動後、次のターンの自身の行動時、敵全員に知略攻撃(ダメージ率66%)を仕掛ける,,自分
147,鬼の咆哮,固有,不明,品質：不明,品質:B種類:自律発動率:100%ランダムな敵2人の被ダメージを、本来の25%増加させる。効果は1ターン後の行動開始前まで持続する,,敵軍ランダム2人
148,姫路城の再建,固有,不明,品質：不明,品質:B種類:受動発動率:40%自身が行動する前に、兵力を回復する(回復率30%),,自分
149,悪屋形の企み,固有,不明,品質：不明,品質:B種類:追撃発動率:35%敵1人に通常攻撃後、同一の敵に追加で逆手(ダメージ率80%)を付与する。効果は付与後に1回、行動開始すると終了する,,敵軍ランダム1人
150,鬼武蔵の背撃ち,固有,不明,品質：不明,品質:B種類:自律発動率:45%ランダムな敵2人の味方それぞれへの与ダメージを、本来の20%減少させる。効果は2ターン後の行動開始前まで持続する,,敵軍ランダム2人
151,追討の痛撃,固有,不明,品質：不明,品質:B種類:追撃発動率:60%敵1人に通常攻撃後、同一の敵に追加で動揺(ダメージ率94%)を付与する。効果は付与後に2回、行動開始すると終了する,,敵軍ランダム1人
152,知勇兼備,固有,不明,品質：不明,品質:B種類:自律発動率:40%ランダムな味方1人の兵力を回復する(回復率150%),,不明
153,奉行の神髄,固有,不明,品質：不明,品質:B種類:自律発動率:100%戦法発動後、次のターンの自身の行動時、ランダムな敵2人に恐慌(ダメージ率120%)を付与する。効果は付与後に2回、行動開始すると終了する,,自分
154,沈着決断,固有,不明,品質：不明,品質:B種類:内政発動率:100%城下町施設の食糧・木材・鉄・石材の産出量が100増加する,,不明
155,大国奉行,固有,不明,品質：不明,品質:B種類:内政発動率:100%城下町施設の木材の産出量が400増加する,,不明
156,福音普及,固有,不明,品質：不明,品質:B種類:内政発動率:100%城下町施設の鉄の産出量が400増加する,,不明
157,織部流の作法,固有,不明,品質：不明,品質:B種類:内政発動率:100%城下町施設の石材の産出量が400増加する,,不明
158,恩寵の光,固有,不明,品質：不明,品質:B種類:内政発動率:100%城下町施設の食糧の産出量が400増加する,,不明
159,鬼奉行,固有,不明,品質：不明,品質:B種類:内政発動率:100%城下町施設の銅銭の産出量が60増加する,,不明
160,茂助の働き,固有,不明,品質：不明,品質:B種類:内政発動率:30%調達の資源産出量が2%増加する,,不明
161,粗略の豪傑,固有,不明,品質：不明,品質:B種類:自律発動率:100%ランダムな味方2人の与ダメージが本来の25%増加する。効果は1ターン後の行動開始前まで持続する,,自軍ランダム2人
162,文武の槍,固有,不明,品質：不明,品質:C種類:受動発動率:100%自身の武勇が10増加する,,自分
163,無心の傅役,固有,不明,品質：不明,品質:C種類:自律発動率:35%ランダムな味方1人に洞察を付与する。効果は1ターン後の行動開始前まで持続する,,不明
164,離反の将,固有,不明,品質：不明,品質:C種類:自律発動率:35%ランダムな敵1人の知略を20減少させる。効果は1ターン後の行動開始前まで持続する,,敵軍ランダム1人
165,武家関白,固有,不明,品質：不明,品質:C種類:自律発動率:50%ランダムな敵1人の統率を20減少させる。効果は1ターン後の行動開始前まで持続する,,敵軍ランダム1人
166,枯れ桔梗,固有,不明,品質：不明,品質:C種類:自律発動率:100%ランダムな味方1人の兵力を回復する(回復率50%),,不明
167,京兆家有職,固有,不明,品質：不明,品質:C種類:受動発動率:100%自身の統率が10増加する,,自分
168,兄の影,固有,不明,品質：不明,品質:C種類:自律発動率:35%ランダムな味方1人に浄化を付与する,,不明
169,有楽の点前,固有,不明,品質：不明,品質:C種類:自律発動率:35%ランダムな敵1人の速度を20減少させる。効果は1ターン後の行動開始前まで持続する,,敵軍ランダム1人
170,剣の極み,伝授,受動補助,品質：S,【確率】100%【効果】自身の会心率が30%、会心ダメージが、さらに75%増加する,,自分
171,英主号令,伝授,自律攻撃,品質：S,【確率】45%【効果】戦法発動後、次のターンの自身の行動時、敵全員に知略攻撃(ダメージ率330%)を仕掛ける,,自分
172,名采配,伝授,自律攻撃,品質：S,【確率】55%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に武勇攻撃(ダメージ率360%)を仕掛ける,,自分
173,海道一の弓取り,伝授,指揮補助,品質：S,【確率】100%【効果】戦闘開始後最初の3ターン、自身に範囲攻撃(ダメージ率60％)を付与する,,自分
174,戦陣突破,伝授,受動補助,品質：S,【確率】100%【効果】自身が攻撃を仕掛ける時に、対象の統率の100％無視し、敵に与える武勇ダメージが本来の20％増加する,,自分
175,速攻,伝授,自律攻撃,品質：S,【確率】60%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に知略攻撃(ダメージ率330%)を仕掛ける,,自分
176,反撃の備え,伝授,受動補助,品質：S,【確率】100%【効果】ダメージを受ける時に、50％の確率で攻撃側に知略攻撃(ダメージ率200%)を1回仕掛ける,,不明
177,魔王怒涛,伝授,受動補助,品質：S,【確率】100%【効果】戦闘開始後、ターン毎に100％の確率で自身に連撃を付与する。戦法効果は戦闘終了まで持続する,,自分
178,二重の計略,伝授,追撃攻撃,品質：S,【確率】50％【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率300%)を仕掛ける,,敵軍ランダム1人
179,軍神の秘策,伝授,自律攻撃,品質：S,【確率】50％【効果】戦法発動後、次のターンの自身の行動時、敵全員に武勇攻撃(ダメージ率300%)を仕掛ける,,自分
180,古今独歩,伝授,受動補助,品質：S,【確率】100%【効果】自身の全能力が60増加する,,自分
181,威嚇の陣,伝授,指揮補助,品質：S,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな敵2人の与ダメージを、本来の30％(さらに知略値により減少量追加)減少させる,,敵軍ランダム2人
182,下克上の惟任,伝授,自律補助,品質：S,【確率】30％【効果】ランダムな敵1人に下克上を付与する。効果は付与後3回目の行動開始前まで持続する,,敵軍ランダム1人
183,士気高揚,伝授,追撃攻撃,品質：S,【確率】40%【効果】敵1人に通常攻撃後、同一の敵に追加で1回知略攻撃(ダメージ率280%)を仕掛け、30％の確率で敵に混乱を付与する。効果は付与後2回目の行動開始前まで持続する,,敵軍ランダム1人
184,高名の将,伝授,自律補助,品質：S,【確率】35%【効果】ランダムな敵1人に威嚇を付与する。効果は付与後3回目の行動開始前まで持続する,,敵軍ランダム1人
185,三河の軍陣,伝授,指揮補助,品質：S,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな味方2人の被ダメージを、本来の30%(さらに知略値により減少量追加)減少する,,自軍ランダム2人
186,畏怖の旗,伝授,自律補助,品質：S,【確率】35％【効果】ランダムな敵1人に混乱を付与する。効果は付与後3回目の行動開始前まで持続する,,敵軍ランダム1人
187,妨害の策,伝授,指揮補助,品質：S,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな敵2人の通常攻撃と追撃戦法のダメージを、本来の90%減少させる,,敵軍ランダム2人
188,謀神の軍略,伝授,受動補助,品質：S,【確率】100%【効果】自身の攻撃が敵の知略値の50％を無視し、敵に与える知略ダメージが、本来の20％増加する,,自分
189,林の如し,伝授,受動治療,品質：S,【確率】100%【効果】自身が行動する前に、兵力を回復する(回復率200%),,自分
190,連戦の勢い,伝授,自律攻撃,品質：S,【確率】50％【効果】ランダムな敵2人に武勇攻撃(ダメージ率164%)を仕掛ける。この戦法が発動する度に、発動率が10%増加する。効果は重複し、戦闘終了まで持続する,,敵軍ランダム2人
191,忍の秘術,伝授,追撃攻撃,品質：S,【確率】40%【効果】敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率280%)を仕掛け、30％の確率で敵に威嚇を付与する。効果は付与後2回目の行動開始前まで持続する,,敵軍ランダム1人
192,隠密撹乱,伝授,自律攻撃,品質：S,【確率】45%【効果】ランダムな敵2人に知略攻撃(ダメージ率200%)を仕掛け、攻撃目標の武勇、統率、知略を40減少させる。効果は2ターン後の行動開始前まで持続する,,敵軍ランダム2人
193,決死猛撃,伝授,自律攻撃,品質：S,【確率】50％【効果】ランダムな敵2人に武勇攻撃(ダメージ率240%)を仕掛け、自身の武勇を50％減少させる。効果は1ターン後の行動開始前まで持続する,,自分
194,幻惑の術,伝授,指揮補助,品質：S,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな敵2人は100%の確率で自律戦法の発動まで1ターン追加される,,敵軍ランダム2人
195,出雲の謀聖,伝授,自律攻撃,品質：S,【確率】50％【効果】ランダムな敵2人に知略攻撃(ダメージ率164%、さらに知略値によりダメージ増加)を仕掛ける。この戦法が発動する度に、発動率が10%増加する。効果は重複し、戦闘終了まで持続する,,敵軍ランダム2人
196,無双勇兵,伝授,自律攻撃,品質：S,【確率】45％【効果】敵全員に武勇攻撃(ダメージ率200%)を仕掛ける,,敵軍1人
197,誘引の計,伝授,指揮防御,品質：S,【確率】100%【効果】戦闘開始後最初の3ターン、敵全員に挑発を与え、かつ自身の統率を100増加させる,,自分
198,万全の計,伝授,自律攻撃,品質：S,【確率】55%【効果】ランダムな敵2人に知略攻撃(ダメージ率190%)を仕掛ける,,敵軍ランダム2人
199,堅守の策,伝授,受動攻撃,品質：S,【確率】100%【効果】自身に反撃(ダメージ率100%)を付与する,,自分
200,猛威勇槍,伝授,自律攻撃,品質：S,【確率】45%【効果】ランダムな敵2人に武勇攻撃(ダメージ率225%)を仕掛ける,,敵軍ランダム2人
201,墨俣一夜城,伝授,自律攻撃,品質：S,【確率】45%【効果】敵全員に知略攻撃(ダメージ率200%)を1回仕掛ける,,敵軍1人
202,勇断二突,伝授,追撃攻撃,品質：S,【確率】50％【効果】敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率300%)を仕掛ける,,敵軍ランダム1人
203,軍律厳正,伝授,受動補助,品質：S,【確率】100%【効果】自身に奇策率が30%、奇策ダメージが、さらに75%増加する,,自分
204,大局掌握,伝授,受動補助,品質：A,【確率】100％【効果】自身の知略が60増加する,,自分
205,持続攻勢,伝授,自律補助,品質：A,【確率】40％【効果】自身に連撃を付与する。効果は1ターン後の行動開始前まで持続する,,自分
206,鋭気回復,伝授,自律攻撃,品質：A,【確率】55%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に知略攻撃(ダメージ率100％)を仕掛け、ランダムな味方2人の兵力を回復する(回復率100％),,自分
207,反攻の策,伝授,追撃攻撃,品質：A,【確率】30％【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率120%)を仕掛け、窮地を付与する。効果は付与後2回目の行動開始前まで持続する,,敵軍ランダム1人
208,典雅堅忍,伝授,自律治療,品質：A,【確率】40％【効果】ランダムな味方2人に浄化を付与し、兵力を回復する(回復率120%),,自軍ランダム2人
209,壮烈痛撃,伝授,追撃攻撃,品質：A,【確率】35％【効果】敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率200%)を仕掛ける,,敵軍ランダム1人
210,至高の采配,伝授,受動補助,品質：A,【確率】100%【効果】自身の全能力が32増加する,,自分
211,高揚号令,伝授,指揮補助,品質：A,【確率】100%【効果】戦闘開始後最初の3ターン、味方それぞれの与ダメージが本来の20％増加する,,不明
212,用心の命,伝授,指揮補助,品質：A,【確率】100%【効果】戦闘開始後最初の3ターン、味方それぞれの被ダメージが、本来の20％減少する,,不明
213,熟考の一手,伝授,自律攻撃,品質：A,【確率】50％【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に知略攻撃(ダメージ率192%)を仕掛ける,,自分
214,堅忍不抜,伝授,自律防御,品質：A,【確率】40％【効果】自身に2回抵抗を付与する。効果は1ターン後の行動開始前まで持続する,,自分
215,謀叛の将,伝授,自律攻撃,品質：A,【確率】35%【効果】ランダムな敵1人に武勇攻撃(ダメージ率170%)を仕掛け、丸腰を付与する。効果は付与後2回目の行動開始前まで持続する,,敵軍ランダム1人
216,急進乱突,伝授,自律攻撃,品質：A,【確率】35%【効果】ランダムな敵1人に知略攻撃(ダメージ率170%)を仕掛け、窮地を付与する。効果は2回目の行動開始前まで持続する,,敵軍ランダム1人
217,慎重進軍,伝授,追撃攻撃,品質：A,【確率】30％【効果】敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率60％)を仕掛け、丸腰効果を付与する。効果は付与後2回目の行動開始前まで持続する,,敵軍ランダム1人
218,伝説の忍,伝授,指揮補助,品質：A,【確率】100%【効果】戦闘開始後の3、5、7ターン目に、80％の確率でランダムな敵2人に、そのターンの終了まで、窮地を付与する,,敵軍ランダム2人
219,冷静決断,伝授,受動補助,品質：A,【確率】100%【効果】自身の統率が60増加する,,自分
220,動揺打撃,伝授,自律攻撃,品質：A,【確率】50%【効果】ランダムな敵2人に動揺(ダメージ率156%)を付与する。効果は付与後に1回、行動開始すると終了する,,敵軍ランダム2人
221,防衛の才覚,伝授,自律補助,品質：A,【確率】40％【効果】自身の被ダメージが、本来の50％減少する。効果は2ターン後の行動開始前まで持続する,,自分
222,敵陣攪乱,伝授,指揮補助,品質：A,【確率】100%【効果】戦闘開始後第3、5、7ターン目に、80％確率でランダムな敵2人に、そのターンの終了まで、丸腰を付与する,,敵軍ランダム2人
223,潰乱の策,伝授,自律攻撃,品質：A,【確率】40％【効果】ランダムな敵2人に恐慌(ダメージ率222%)を付与する。効果は付与後に1回、行動開始すると終了する,,敵軍ランダム2人
224,裏の策,伝授,自律攻撃,品質：A,【確率】45%【効果】ランダムな敵2人に中毒(ダメージ率194%)を付与する。効果は付与後に1回、行動開始すると終了する,,敵軍ランダム2人
225,鶴の一声,伝授,自律治療,品質：A,【確率】50％【効果】ランダムな味方1人に救急(75%の確率で、回復率100%)を付与し、効果は2ターン後の行動開始前まで持続する,,不明
226,陽動の将,伝授,自律防御,品質：A,【確率】40％【効果】ランダムな敵2人に挑発を付与し、効果は付与後3回目の行動開始前まで持続する。さらに、自身の統率が70増加し、効果は2ターン後の行動開始前まで持続する,,自分
227,善戦無畏,伝授,自律攻撃,品質：A,【確率】35%【効果】ランダムな敵1人に武勇攻撃(ダメージ率170%)を仕掛け、窮地を付与する。効果は付与後2回目の行動開始前まで持続する,,敵軍ランダム1人
228,慈心休養,伝授,自律治療,品質：A,【確率】50％【効果】戦法発動後、次のターンの自身の行動時、ランダムな味方2人の兵力を回復する(回復率180%),,自分
229,鬼の猛攻,伝授,自律補助,品質：A,【確率】60%【効果】自身に範囲攻撃(ダメージ率60％)を付与する。効果は1ターン後の行動開始前まで持続する,,自分
230,不意乱撃,伝授,自律攻撃,品質：A,【確率】35%【効果】ランダムな敵1人に知略攻撃(ダメージ率170%)を仕掛け、丸腰を付与する。効果は２回目の行動開始前まで持続する,,敵軍ランダム1人
231,勇略,伝授,追撃攻撃,品質：A,【確率】45%【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率160%)を仕掛ける,,敵軍ランダム1人
232,勇往邁進,伝授,受動補助,品質：A,【確率】100%【効果】自身の武勇が60増加する,,自分
233,家臣親愛,伝授,自律補助,品質：A,【確率】30％【効果】兵力が一番少ない味方に1回抵抗を付与し、兵力を回復する(回復率188%)。効果は1ターン後の行動開始前まで持続する,,不明
234,人望の君,伝授,自律補助,品質：A,【確率】35％【効果】ランダムな敵1人に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,,敵軍ランダム1人
235,烈火双撃,伝授,自律攻撃,品質：A,【確率】35%【効果】ランダムな敵2人に火傷(ダメージ率258%)を付与する。効果は付与後に1回、行動開始すると終了する,,敵軍ランダム2人
236,支柱の将,伝授,自律攻撃,品質：A,【確率】30%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵1人に武勇攻撃(ダメージ率355％)を仕掛ける,,自分
237,和敬清寂,伝授,自律補助,品質：B,【確率】35％【効果】自身に浄化を付与する,,自分
238,武人の慈悲,伝授,自律治療,品質：B,【確率】60%【効果】ランダムな味方1人の兵力を回復する(回復率80%),,不明
239,進攻の策,伝授,自律攻撃,品質：B,【確率】50%【効果】ランダムな敵1人に知略攻撃(ダメージ率104%)を仕掛ける,,敵軍ランダム1人
240,将の器,伝授,受動補助,品質：B,【確率】100%【効果】自身の統率が30増加する,,自分
241,果敢連撃,伝授,追撃攻撃,品質：B,【確率】35％【効果】敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率125%)を仕掛ける,,敵軍ランダム1人
242,勇槍,伝授,受動補助,品質：B,【確率】100%【効果】自身の武勇が30増加する,,自分
243,守備の要,伝授,自律補助,品質：B,【確率】35%【効果】自身に反撃(ダメージ率60％)を付与する。効果は1ターン後の行動開始前まで持続する,,自分
244,戦場慧眼,伝授,自律補助,品質：B,【確率】35％【効果】自身に洞察を付与する。効果は2ターン後の行動開始前まで持続する,,自分
245,破敵猛技,伝授,自律補助,品質：B,【確率】35%【効果】ランダムな敵2人の被ダメージ率を、本来の20％上昇させる。効果は2ターン持続後の行動開始前まで持続する,,敵軍ランダム2人
246,剛勇の一撃,伝授,自律攻撃,品質：B,【確率】45%【効果】ランダムな敵1人に武勇攻撃(ダメージ率140%)を仕掛ける,,敵軍ランダム1人
247,双撃の計略,伝授,追撃攻撃,品質：B,【確率】50％【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率100％)を仕掛ける,,敵軍ランダム1人
248,早駆け,伝授,受動補助,品質：B,【確率】100%【効果】自身の速度が30増加する,,自分
249,教唆扇動,伝授,自律防御,品質：B,【確率】30%【効果】ランダムな敵2人に挑発を付与する。効果は付与後3回目の行動開始前まで持続する,,敵軍ランダム2人
250,重鎮防衛,伝授,自律補助,品質：B,【確率】100%【効果】自身の被ダメージを本来の30%減少させる。効果は1ターン後の行動開始前まで持続する,,自分
251,天恵,伝授,受動補助,品質：B,【確率】100%【効果】自身の知略が30増加する,,自分
=======
﻿id,name,type,grade,rank,effect,owners,target
1,名称取得失敗,固有,不明,品質：不明,,,不明
2,第六天の魔王,固有,不明,品質：不明,品質:S種類:受動発動率:100%各ターン100%の確率で発動し、発動したターン中は武勇と知略が100増加し、自身の攻撃後に再度攻撃する,織田信長,自分
3,三河武士,固有,不明,品質：不明,品質:S種類:指揮発動率:100%戦闘開始から戦闘終了まで、味方それぞれの被ダメージが本来の15%減少する(さらに統率値により被ダメージ減少),徳川家康,不明
4,最強の虎,固有,不明,品質：不明,品質:S種類:指揮発動率:100%各ターン中、味方1人毎に各効果を20%の確率(さらに統率値により確率上昇)で付与する。(1)連撃(2)休憩(回復率100%)(3)範囲攻撃(ダメージ率50%)(4)抵抗,武田信玄,不明
5,相模獅子,固有,不明,品質：不明,品質:S種類:指揮発動率:50%戦闘開始後の1ターン目で、ランダムな敵2人に威嚇を付与し、効果は1ターン目で終了する。さらにこの2人の敵の全能力が15%(さらに統率値により減少値を追加)減少する。行動する毎に1/3ずつ効果が軽減し、付与された4回目の行動開始前まで持続する,北条氏康,敵軍ランダム2人
6,蝮の悪計,固有,不明,品質：不明,品質:S種類:自律発動率:50%敵に3回知略攻撃(ダメージ率84%)を仕掛ける。ダメージを与える対象は1回毎にランダムになる。各攻撃の対象となった敵には中毒、火傷、恐慌(ダメージ率84%)を順に付与する。各効果は付与後に2回、行動開始すると終了する,斎藤道三,敵軍1人
7,山吹の智将,固有,不明,品質：不明,品質:S種類:自律発動率:100%戦法発動後、2ターン後の自身の行動時、敵全員に知略攻撃(ダメージ率540%)を仕掛ける,太田道灌,自分
8,軍神兵法,固有,不明,品質：不明,品質:S種類:指揮発動率:60%ターン毎に味方それぞれを対象に以下の効果を与える。(1)25%の確率(さらに統率値により確率上昇)でランダムな敵1人に武勇攻撃(ダメージ率178%)を仕掛ける。(2)15%の確率(さらに速度値により確率上昇)で、このターン中、自身に抵抗を1回付与する,上杉謙信,自分
9,三矢の教え,固有,不明,品質：不明,品質:S種類:自律発動率:100%味方それぞれがランダムな敵1人に1回武勇攻撃(ダメージ率170%)か知略攻撃(ダメージ率170%)を仕掛ける。能力が高い方で発動する攻撃の種類が決まる,毛利元就,敵軍ランダム1人
10,日本一の兵,固有,不明,品質：不明,品質:S種類:受動発動率:100%戦闘開始後、自身の与ダメージが本来の100%増加する。効果は戦闘終了まで持続する,真田幸村,自分
11,千成瓢箪,固有,不明,品質：不明,品質:S種類:指揮発動率:100%味方それぞれが自律戦法、追撃戦法を発動する度に、ランダムな敵1人に追加で1回の知略攻撃(ダメージ率90%)を仕掛ける,羽柴秀吉,敵軍ランダム1人
12,今川の軍略,固有,不明,品質：不明,品質:S種類:指揮発動率:40%味方それぞれの与ダメージが本来の100%増加し、この効果は味方がダメージを受ける度に1/5ずつ減少する,今川義元,不明
13,晩成の計略,固有,不明,品質：不明,品質:S種類:自律発動率:100%ランダムな敵2人に知略攻撃(ダメージ率140%)を仕掛け、火傷(ダメージ率70%)を付与する。効果は付与後に1回、行動開始すると終了する。攻撃対象が既に火傷を受けている場合、威嚇を付与する。効果は付与後2回目の行動開始前まで持続する,北条早雲,敵軍ランダム2人
14,風雅治世,固有,不明,品質：不明,品質:S種類:内政発動率:35%城下町施設の銅銭の産出量が240増加する,,不明
15,東の一益,固有,不明,品質：不明,品質:S種類:自律発動率:35%ランダムな味方2人に抵抗を1回付与し、攻撃を仕掛ける時に、対象の統率と知略を20%無視する効果を付与する。全ての効果は2ターン後の行動開始前まで持続する,滝川一益,自軍ランダム2人
16,桔梗の旗,固有,不明,品質：不明,品質:S種類:自律発動率:50%ランダムな敵2人に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,明智光秀,敵軍ランダム2人
17,虎之介の槍,固有,不明,品質：不明,品質:S種類:追撃発動率:100%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率160%)を仕掛け、敵の統率を40減少させる。効果は2ターン後の行動開始前まで持続する,加藤清正,敵軍ランダム1人
18,八幡大菩薩,固有,不明,品質：不明,品質:S種類:受動発動率:100%敵にダメージを与えると、自身の統率、武勇、知略、速度全てが10%増加する。ダメージを与える度に効果は重複し、戦闘終了まで持続する,本多忠勝,自分
19,天地人,固有,不明,品質：不明,品質:S種類:内政発動率:100%城下町施設の食糧の産出量が1600増加する,,不明
20,無言善政,固有,不明,品質：不明,品質:S種類:内政発動率:100%調達の資源産出量が8%増加する,,不明
21,島津の鬼,固有,不明,品質：不明,品質:S種類:受動発動率:100%ターン毎に60%の確率でランダムな敵2人に武勇攻撃(ダメージ率108%)を仕掛ける。自分の最大兵力が5%減少する度に、発動率が10%上昇する。1回発動すると、発動率が元に戻る,島津義弘,自分
22,地黄八幡旗,固有,不明,品質：不明,品質:S種類:指揮発動率:50%戦闘開始後最初の3ターン、味方それぞれの統率が40増加し、反撃(ダメージ率80%)を付与する,北条綱成,不明
23,老練勇将,固有,不明,品質：不明,品質:S種類:自律発動率:100%ランダムな敵1人に武勇攻撃(ダメージ率150%)を仕掛け、同時に自身の被ダメージが本来の20%減少する(さらに統率値により被ダメージ減少)。効果は1ターン後の行動開始前まで持続する,長野業正,自分
24,出来人,固有,不明,品質：不明,品質:S種類:受動発動率:100%自身を攻撃した相手に50%の確率で混乱を付与する。効果は付与後2回目の行動開始前まで持続する,長宗我部元親,自分
25,半領の恩,固有,不明,品質：不明,品質:S種類:受動発動率:60%味方の大将が6回攻撃する度に、自身がランダムな敵2人に追加で1回武勇攻撃(ダメージ率225%)を仕掛ける,島清興,自分
26,根性渡河,固有,不明,品質：不明,品質:S種類:追撃発動率:50%敵1人に通常攻撃後、同一の敵に追加で1回、寝返である、武勇攻撃(ダメージ率160%、このダメージの60%自身の兵力を回復)を仕掛ける,戸沢盛安,自分
27,雷切一閃,固有,不明,品質：不明,品質:S種類:追撃発動率:50%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率180%)を仕掛け、威嚇を付与する。効果は付与後2回目の行動開始前まで持続する,立花道雪,敵軍ランダム1人
28,雑賀衆突撃,固有,不明,品質：不明,品質:S種類:自律発動率:100%敵のいずれかに2-4回武勇攻撃(ダメージ率130%)を仕掛ける。ダメージを与える対象は1回毎にランダムとなる,鈴木重秀,敵軍1人
29,危地誘引,固有,不明,品質：不明,品質:S種類:指揮発動率:50%各ターン中、80%の確率でどちらかの効果が発動する。(1)ランダムな味方2人の被ダメージが本来の20%減少する。(さらに知略値により被ダメージ減少)(2)ランダムな味方2人の与ダメージが本来の20%増加する。(さらに知略値により与ダメージ増加),真田昌幸,自軍ランダム2人
30,如水兵法,固有,不明,品質：不明,品質:S種類:自律発動率:45%兵力が一番少ない味方の兵力を回復させ(回復率250%)、兵力が一番少ない敵1人に知略攻撃(ダメージ率250%)を仕掛ける,黒田孝高,敵軍ランダム1人
31,猛虎急襲,固有,不明,品質：不明,品質:S種類:追撃発動率:100%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率174%)を仕掛ける。攻撃後、1ターン後の行動開始前まで、自身の与ダメージが本来の20%増加し、2ターン後の行動開始前まで、自身の被ダメージが本来の40%増加する,武田信虎,自分
32,立花家の誇り,固有,不明,品質：不明,品質:S種類:指揮発動率:100%味方それぞれの通常攻撃時、30%の確率(さらに統率値により確率上昇)で、連撃を付与する。効果は連撃を行う毎に終了する,立花誾千代,不明
33,伝馬流通,固有,不明,品質：不明,品質:S種類:内政発動率:100%徴兵での資源消費量が8%減少する,,不明
34,薩州の雄,固有,不明,品質：不明,品質:S種類:内政発動率:100%城下町施設の木材の産出量が1600増加する,,不明
35,伊達の柱石,固有,不明,品質：不明,品質:S種類:内政発動率:100%城内施設の建設所要時間が8%減少する,,不明
36,大百足,固有,不明,品質：不明,品質:S種類:受動発動率:100%自身の全ての攻撃が敵に中毒(ダメージ率は40%)を付与する。効果は付与後に1回、行動開始すると終了する。この効果による中毒は重ねて付与でき、それを3つ以上重ねた時、敵はすぐに中毒ダメージ(ダメージ率は240%)を1回受け、この効果による中毒は消える,伊達成実,自分
37,天下の執政,固有,不明,品質：不明,品質:S種類:内政発動率:60%城下町施設の食糧・木材・鉄・石材の産出量が1600増加する。戦法発動の間、他の武将の内政戦法が無効となる,,不明
38,北の謀将,固有,不明,品質：不明,品質:S種類:追撃発動率:100%敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率130%)を1回仕掛け、50%の確率で敵に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,津軽為信,敵軍ランダム1人
39,共謀続攻,固有,不明,品質：不明,品質:S種類:指揮発動率:50%自分以外のランダムな味方1人に先制を付与する。さらに先制を付与した味方の速度を40増加、与ダメージを本来の40%増加させる。効果は戦闘終了まで持続する,斎藤義龍,自分
40,仏法再興,固有,不明,品質：不明,品質:S種類:自律発動率:100%ランダムな味方1人に浄化を付与し、兵力を回復する(回復率360%),本願寺顕如,不明
